taxon_id,taxon_name,class
BACILLARIOCSP,Bacillariophyceae sp.,Bacillariophyceae
BATRACHOSPFSP,Batrachospermaceae sp.,Rhodophyceae
CHLOROPHYTASP,Chlorophyta sp.,NA
NEONDREX10019,Aulacoseira italica (Ehrenberg) Simonsen,Bacillariophyceae
NEONDREX1010,Achnanthidium minutissimum (Kützing) Czarnecki,Bacillariophyceae
NEONDREX1024,Achnanthidium exiguum (Grunow) Czarnecki,Bacillariophyceae
NEONDREX110005,Encyonema silesiacum (Bleisch) Mann,Bacillariophyceae
NEONDREX12031,Caloneis schumanniana (Grunow) Cleve,Bacillariophyceae
NEONDREX155009,Planothidium delicatulum (Kützing) Round et Bukhtiyarova,Bacillariophyceae
NEONDREX155017,Planothidium frequentissimum (Lange-Bertalot) Lange-Bertalot,Bacillariophyceae
NEONDREX16004,Cocconeis placentula Ehrenberg,Bacillariophyceae
NEONDREX172005,Staurosira construens var. binodis (Ehrenberg) Hamilton,Bacillariophyceae
NEONDREX172006,Staurosira construens var. venter (Ehrenberg) Hamilton,Bacillariophyceae
NEONDREX175005,Staurosirella pinnata (Ehrenberg) Williams et Round,Bacillariophyceae
NEONDREX245001,Ulnaria ulna (Nitzsch) Compère,Bacillariophyceae
NEONDREX245005,Ulnaria acus (Kützing) Aboal,Bacillariophyceae
NEONDREX32003,Epithemia adnata (Kützing) Brébisson,Bacillariophyceae
NEONDREX32004,Epithemia turgida (Ehrenberg) Kützing,Bacillariophyceae
NEONDREX33185,Eunotia bilunaris (Ehrenberg) Souza,Bacillariophyceae
NEONDREX34006,Fragilaria capucina Desmazières,Bacillariophyceae
NEONDREX34017,Fragilaria crotonensis Kitton,Bacillariophyceae
NEONDREX34098,Fragilaria capucina var. gracilis (Østrup) Hustedt,Bacillariophyceae
NEONDREX34212,Fragilaria sepes Ehrenberg,Bacillariophyceae
NEONDREX34237,Fragilaria mesolepta Rabenhorst,Bacillariophyceae
NEONDREX37002,Gomphonema affine Kützing,Bacillariophyceae
NEONDREX37007,Gomphonema gracile Ehrenberg,Bacillariophyceae
NEONDREX37010,Gomphonema parvulum (Kützing) Kützing,Bacillariophyceae
NEONDREX37022,Gomphonema truncatum Ehrenberg,Bacillariophyceae
NEONDREX37029,Gomphonema subclavatum (Grunow) Grunow,Bacillariophyceae
NEONDREX37168,Gomphonema micropus Kützing,Bacillariophyceae
NEONDREX37302,Gomphonema drutelingense Reichardt,Bacillariophyceae
NEONDREX45005,Meridion lineare Williams,Bacillariophyceae
NEONDREX455000,Oedogonium sp.,Chlorophyceae
NEONDREX46056,Navicula radiosa Kützing,Bacillariophyceae
NEONDREX46504,Navicula veneta Kützing,Bacillariophyceae
NEONDREX46649,Navicula recens (Lange-Bertalot) Lange-Bertalot,Bacillariophyceae
NEONDREX467000,Pediastrum duplex Meyen,Chlorophyceae
NEONDREX48004,Nitzschia amphibia Grunow,Bacillariophyceae
NEONDREX48013,Nitzschia frustulum (Kützing) Grunow,Bacillariophyceae
NEONDREX48023,Nitzschia linearis (Agardh) Smith,Bacillariophyceae
NEONDREX48025,Nitzschia palea (Kützing) Smith,Bacillariophyceae
NEONDREX48032,Nitzschia sublinearis Hustedt,Bacillariophyceae
NEONDREX48122,Nitzschia inconspicua Grunow,Bacillariophyceae
NEONDREX48165,Nitzschia paleacea Grunow,Bacillariophyceae
NEONDREX48177,Nitzschia sigmoidea (Nitzsch) Smith,Bacillariophyceae
NEONDREX48340,Nitzschia incognita Legler et Krasske,Bacillariophyceae
NEONDREX52009,Pinnularia appendiculata (Agardh) Cleve,Bacillariophyceae
NEONDREX543001,Stigeoclonium lubricum (Dillwyn) Kützing,Chlorophyceae
NEONDREX58001,Rhopalodia gibba (Ehrenberg) Müller,Bacillariophyceae
NEONDREX58012,Rhopalodia operculata (Agardh) Håkansson,Bacillariophyceae
NEONDREX6001,Amphipleura pellucida (Kützing) Kützing,Bacillariophyceae
NEONDREX73001,Pseudostaurosira brevistriata (Grunow) Williams et Round,Bacillariophyceae
NEONDREX803001,Anabaena sp.,Myxophyceae
NEONDREX820006,Chroococcus sp.,Myxophyceae
NEONDREX850006,Heteroleibleinia sp.,Myxophyceae
NEONDREX8942001,Eolimna minima (Grunow) Lange-Bertalot,Bacillariophyceae
NEONDREX897003,Pseudanabaena sp.,Myxophyceae
NEONDREX9098005,Halamphora montana (Krasske) Levkov,Bacillariophyceae
SELPUP,Sellaphora pupula (Kützing) Mereschkovsky,Bacillariophyceae
STEMEN,"Stephanocyclus meneghinianus (Kützing) Kulikovskiy, Genkal & Kociolek",Coscinodiscophyceae
COCPLA,Cocconeis placentula sensu lato Ehrenberg,Bacillariophyceae
NEONDREX155003,Planothidium lanceolatum (Brébisson ex Kützing) Lange-Bertalot,Bacillariophyceae
NEONDREX16003,Cocconeis placentula var. lineata (Ehrenberg) Van Heurck,Bacillariophyceae
NEONDREX261004,Ankistrodesmus sp.,Chlorophyceae
NEONDREX30001,Diploneis elliptica (Kützing) Cleve,Bacillariophyceae
NEONDREX32006,Epithemia sorex Kützing,Bacillariophyceae
NEONDREX40002,Hantzschia amphioxys (Ehrenberg) Grunow,Bacillariophyceae
NEONDREX44073,Melosira varians Agardh,Bacillariophyceae
NEONDREX45002,Meridion circulare var. constrictum (Ralfs) Van Heurck,Bacillariophyceae
NEONDREX48008,Nitzschia dissipata (Kützing) Grunow,Bacillariophyceae
NEONDREX481003,Pleurotaenium trabecula (Ehrenberg) Nägeli,Chlorophyceae
NEONDREX48126,Nitzschia perminuta (Grunow) Peragallo,Bacillariophyceae
NEONDREX510001,Scenedesmus quadricauda (Turpin) Brébisson,Chlorophyceae
NEONDREX510103,Scenedesmus microspina Chodat,Chlorophyceae
NEONDREX62008,Stauroneis kriegeri Patrick,Bacillariophyceae
NEONDREX65002,Surirella angusta Kützing,Bacillariophyceae
NEONDREX7001,Amphora ovalis (Kützing) Kützing,Bacillariophyceae
NEONDREX9105001,Prestauroneis integra (W. Smith) Bruder,Bacillariophyceae
NEONDREX197003,Diadesmis gallica Smith,Bacillariophyceae
NEONDREX316008,Closterium sp.,Chlorophyceae
NEONDREX327012,Cosmarium granatum Brébisson ex Ralfs,Chlorophyceae
NEONDREX467001,Pediastrum boryanum (Turpin) Meneghini,Chlorophyceae
NEONDREX48011,Nitzschia fonticola (Grunow) Grunow,Bacillariophyceae
NEONDREX510007,Scenedesmus bicaudatus (Hansgirg) Chodat,Chlorophyceae
NEONDREX7075,Amphora copulata (Kützing) Schoeman et Archibald,Bacillariophyceae
NEONDREX860004,Lyngbya martensiana Meneghini ex Gomont,Myxophyceae
NEONDREX990000,Phacus sp.,Euglenophyceae
NEONDREX110004,Encyonema minutum (Hilse) Mann,Bacillariophyceae
NEONDREX170014,Sellaphora seminulum (Grunow) Mann,Bacillariophyceae
NEONDREX188001,Lemnicola hungarica (Grunow) Round et Basson,Bacillariophyceae
NEONDREX33362,Eunotia sp.,Bacillariophyceae
NEONDREX37001,Gomphonema acuminatum Ehrenberg,Bacillariophyceae
NEONDREX37003,Gomphonema angustatum (Kützing) Rabenhorst,Bacillariophyceae
NEONDREX37156,Gomphonema insigne Gregory,Bacillariophyceae
NEONDREX37178,Gomphonema minutum (Agardh) Agardh,Bacillariophyceae
NEONDREX45001,Meridion circulare (Greville) Agardh,Bacillariophyceae
NEONDREX46014,Navicula cryptocephala Kützing,Bacillariophyceae
NEONDREX46527,Navicula cryptotenella Lange-Bertalot,Bacillariophyceae
NEONDREX46774,Navicula trivialis Lange-Bertalot,Bacillariophyceae
NEONDREX48002,Nitzschia acicularis (Kützing) Smith,Bacillariophyceae
NEONDREX48006,Nitzschia capitellata Hustedt,Bacillariophyceae
NEONDREX48015,Nitzschia gracilis Hantzsch,Bacillariophyceae
NEONDREX48029,Nitzschia recta Hantzsch ex Rabenhorst,Bacillariophyceae
NEONDREX48284,Nitzschia radicula Hustedt,Bacillariophyceae
NEONDREX48347,Nitzschia acidoclinata Lange-Bertalot,Bacillariophyceae
NEONDREX48383,Nitzschia fossilis (Grunow) Grunow,Bacillariophyceae
NEONDREX1212000,Tribonema sp.,Tribophyceae
NEONDREX37065,Gomphonema olivaceum (Lyngbye) Kützing,Bacillariophyceae
NEONDREX37473,Gomphonema sp.,Bacillariophyceae
NEONDREX46648,Navicula erifuga Lange-Bertalot,Bacillariophyceae
NEONDREX467002,Pediastrum tetras (Ehrenberg) Ralfs,Chlorophyceae
NEONDREX48045,Nitzschia tropica Hustedt,Bacillariophyceae
NEONDREX48119,Nitzschia graciliformis Lange-Bertalot et Simonsen,Bacillariophyceae
NEONDREX510002,Scenedesmus ecornis (Ralfs) Chodat,Chlorophyceae
NEONDREX52159,Pinnularia gibba (Ehrenberg) Ehrenberg,Bacillariophyceae
NEONDREX57002,Rhoicosphenia abbreviata (Agardh) Lange-Bertalot,Bacillariophyceae
NEONDREX73010,Pseudostaurosira parasitica (Smith) Morales,Bacillariophyceae
NEONDREX12001,Caloneis bacillum (Grunow) Cleve,Bacillariophyceae
NEONDREX1212002,Tribonema bombycinum (Agardh) Derbes et Solier,Tribophyceae
NEONDREX186004,Psammothidium lauenburgianum (Hustedt) Bukhtiyarova et Round,Bacillariophyceae
NEONDREX194005,Placoneis elginensis (Gregory) Cox,Bacillariophyceae
NEONDREX441014,Microspora amoena var. crassior (Kützing) Hansgirg,Chlorophyceae
NEONDREX467013,Pediastrum duplex var. clathratum (Braun) Lagerheim,Chlorophyceae
NEONDREX48417,Nitzschia archibaldii Lange-Bertalot,Bacillariophyceae
NEONDREX510003,Scenedesmus acutus Meyen,Chlorophyceae
NEONDREX7043,Amphora pediculus (Kützing) Grunow,Bacillariophyceae
NEONDREX885004,Nostoc sp.,Myxophyceae
NEONDREX155018,Planothidium rostratum (Østrup) Lange-Bertalot,Bacillariophyceae
NEONDREX186002,Psammothidium grischunum f. daonensis (Lange-Bertalot) Bukhtiyarova and Round,Bacillariophyceae
NEONDREX211006,Mayamaea excelsa (Krasske) Lange-Bertalot,Bacillariophyceae
NEONDREX25001,Denticula elegans Kützing,Bacillariophyceae
NEONDREX25005,Denticula valida (Pedicino) Grunow,Bacillariophyceae
NEONDREX37197,Gomphonema kobayasii Kociolek et Kingston,Bacillariophyceae
NEONDREX48024,Nitzschia microcephala Grunow,Bacillariophyceae
NEONDREX538005,Staurastrum punctulatum Brébisson,Chlorophyceae
NEONDREX970000,Euglena sp.,Euglenophyceae
